id,entity_type,name,vendor,category,min_age_official,in_uk_ban_scope,parental_tool_name,official_guide_url,notes,last_verified
ios,os,iPhone and iPad (iOS/iPadOS),Apple,smartphone,,false,Screen Time + Family Sharing,https://support.apple.com/en-us/105121,"Child account required under 13, available to 18. iOS 26/27 adds Ask to Browse, contact approval, expanded age ratings (13+/16+/18+), Declared Age Range API. Communication Safety and Web Content limits on by default for under 18s.",2026-07-04
macos,os,Mac (macOS),Apple,computer,,false,Screen Time + Family Sharing,https://support.apple.com/en-us/105121,"Same Screen Time controls as iOS including Ask to Browse across Safari on Mac.",2026-07-04
android,os,Android phone and tablet,Google,smartphone,,false,Google Family Link,https://families.google/familylink/,"Free, account level so filters survive browser switching. Supervision weakens at 13 when child can opt out (parent is notified). Works on Android 6+, ChromeOS, some Fitbit.",2026-07-04
chromebook,os,Chromebook (ChromeOS),Google,computer,,false,Google Family Link,https://support.google.com/families/answer/7101025,"Same Family Link supervision as Android.",2026-07-04
windows,os,Windows PC,Microsoft,computer,,false,Microsoft Family Safety,https://account.microsoft.com/family,"Same family group as Xbox. Screen time, content filters, spending, activity reports across Windows and Xbox.",2026-07-04
fire_tablet,device,Amazon Fire tablet / Kids edition,Amazon,tablet,,false,Amazon Kids / Kids+,https://www.amazon.com/gp/help/customer/display.html?nodeId=GLVX2R8QMPHiddenLXCJ,"Kids profile is a walled garden; Parent Dashboard controls time, content, web. Watch for the exit into the adult profile.",2026-07-04
switch,device,Nintendo Switch and Switch 2,Nintendo,console,,false,Nintendo Switch Parental Controls app,https://www.nintendo.com/us/mobile-apps/parental-controls/,"Controls are per console not per child; set for the youngest player. eShop spending restricted separately via Nintendo Account. Switch 2 GameChat requires parent management for under 16s.",2026-07-04
playstation,device,PlayStation 5 and 4,Sony,console,,false,PlayStation Family app,https://www.playstation.com/en-gb/parental-controls/,"Age presets or custom per child account. Playtime, spending caps, communication and UGC restrictions, game exception requests.",2026-07-04
xbox,device,Xbox Series X|S and One,Microsoft,console,,false,Xbox Family Settings app,https://www.xbox.com/en-GB/family-hub,"Best in class remote management; same controls extend to Windows. Ask to Buy, content by age rating, communication and multiplayer controls.",2026-07-04
quest,device,Meta Quest (VR),Meta,vr,10,false,Meta Family Center,https://familycenter.meta.com/,"Ages 10 to 12 auto enrolled in supervision. Physical and social risks differ from flat screens; time in VR should be shorter.",2026-07-04
smart_tv,device,Smart TVs and streaming sticks,Various,tv,,false,Per app profiles and PINs,https://www.internetmatters.org/parental-controls/entertainment-search-engines/,"Controls live per app (Netflix, Disney+, YouTube) plus a store PIN on the TV OS itself. Often the forgotten screen in the house.",2026-07-04
router,network,Home broadband and router,BT / Sky / Virgin / TalkTalk,broadband,,false,ISP content filters,https://www.internetmatters.org/parental-controls/broadband-mobile/,"Network level filtering covers every device on home wifi including friends' phones. Does not follow the child onto mobile data.",2026-07-04
alexa,device,Alexa and smart speakers,Amazon,smart_speaker,,false,Amazon Kids on Alexa,https://www.amazon.com/gp/help/customer/display.html,"Explicit lyrics filter, purchasing off, calling and drop-in restrictions, kid skills only.",2026-07-04
instagram,platform,Instagram,Meta,social,13,true,Teen Accounts + Supervision (Family Center),https://familycenter.meta.com/our-products/instagram/,"Teen Accounts auto applied under 18: private by default, DM limits, sleep mode 10pm to 7am, 13+ content tier with stricter option. Under 16 needs parent approval to loosen. Supervision adds visibility, time limits, algorithm topic insights, suicide/self-harm search alerts. In scope for the UK under 16 ban from Spring 2027.",2026-07-04
tiktok,platform,TikTok,ByteDance,social,13,true,Family Pairing,https://support.tiktok.com/en/safety-hc/account-and-user-safety/family-pairing,"Family Pairing: daily time (default 60 min for 13 to 17), Restricted Mode, search off, DM control (DMs 16+ only), discoverability. Child can unlink but parent is notified. In scope for the UK under 16 ban.",2026-07-04
snapchat,platform,Snapchat,Snap,social,13,true,Family Centre,https://values.snap.com/en-GB/safety/safety-center,"Family Centre shows friends list and who they messaged in last 7 days, not content. Key manual settings: Ghost Mode, contact me friends only, off Quick Add, restrict My AI, sensitive content control. In scope for the UK under 16 ban.",2026-07-04
youtube,platform,YouTube,Google,video,13,true,YouTube Kids / supervised accounts / Family Center,https://www.youtube.com/myfamily/,"Three tiers: YouTube Kids app (4 to 12), supervised kid account on main YouTube (under 13, content levels Explore / Explore More / Most of YouTube), teen accounts 13+ with optional supervision including Shorts feed daily limit (zero option from March 2026), bedtime and break reminders. Named in scope for the UK under 16 ban; the YouTube scope detail is the highest impact open question for Regulations.",2026-07-04
whatsapp,platform,WhatsApp,Meta,messaging,13,false,Parent-managed accounts,https://blog.whatsapp.com/introducing-parent-managed-accounts-on-whatsapp,"Messaging excluded from the UK ban. New parent-managed accounts for pre-teens: parent PIN gates settings, parent approves contacts and groups, reviews unknown message requests. For 13+: lock down groups to My Contacts, profile photo and last seen to contacts, disable live location by default.",2026-07-04
roblox,platform,Roblox,Roblox Corp,gaming_platform,,false,Roblox Parental Controls + linked parent account,https://about.roblox.com/parental-controls,"June 2026: Roblox Kids accounts (5 to 8, strictest defaults, chat off) and Select accounts (9 to 15, graduated chat) rolled out worldwide with age checks. No age check means no chat. Trusted Connections/Friends for cross-age chat with parental approval under 13. IARC/PEGI ratings replacing in-house labels. Parents manage content maturity, chat, spending, screen time, allowed games to 15.",2026-07-04
fortnite,platform,Fortnite / Epic Games,Epic,gaming_platform,,false,Epic Account parental controls,https://www.epicgames.com/site/en-US/parental-controls,"PIN gated: voice and text chat filters, content ratings, spending approval, playtime reporting. Cabined accounts for under 13s until parent consents.",2026-07-04
minecraft,platform,Minecraft,Microsoft/Mojang,gaming_platform,,false,Microsoft Family Safety + Xbox privacy settings,https://www.minecraft.net/en-us/article/parents--guide-minecraft,"Multiplayer, clubs and chat governed by the child's Xbox privacy settings on any platform including mobile. Realms invite-only is the safer multiplayer route.",2026-07-04
discord,platform,Discord,Discord,messaging,13,false,Family Center,https://discord.com/safety-family-center,"Family Center: weekly summary of servers joined, users messaged; no message content. Key settings: DM filters, explicit content filter, friend request limits. Big migration destination when other apps get locked down.",2026-07-04
facebook,platform,Facebook and Messenger,Meta,social,13,true,Teen Accounts + Supervision (Family Center),https://familycenter.meta.com/,"Teen Accounts extended to Facebook and Messenger with 13+ content settings globally from June 2026. Named in scope for the UK under 16 ban. Messenger group chats still common with younger teens.",2026-07-04
netflix,service,Netflix,Netflix,streaming,,false,Profile maturity ratings + PIN,https://help.netflix.com/en/node/264,"Kids profile, per-profile maturity rating, PIN lock on adult profiles, title blocking, autoplay off.",2026-07-04
disney_plus,service,Disney+,Disney,streaming,,false,Profiles + Junior Mode + PIN,https://help.disneyplus.com/,"Junior Mode, per-profile content ratings, kids profile exit protection, PIN on adult profiles.",2026-07-04
spotify,service,Spotify,Spotify,music,13,false,Spotify Kids (Premium Family) + explicit filter,https://support.spotify.com/,"Explicit content filter per account; Spotify Kids app on Family plan. Podcasts largely unrated so filter is partial.",2026-07-04
x_twitter,platform,X (Twitter),X Corp,social,13,true,None (account settings only),https://help.x.com/en/safety-and-security,"No parental controls at all; sensitive media settings and DM restrictions only. Adult content permitted on platform. Named in scope for the UK under 16 ban. Honest position: settings cannot make X age appropriate for under 16s.",2026-07-04
