id,entity_id,setting_name,what_it_does,why_it_matters,how_to_path,default_state,requires_parent_account,priority,bypass_risk,volatility,source_url,last_verified,stage_explorer,stage_learner,stage_navigator,stage_voyager,stage_independent
ios_child_account,ios,Set up a child account in Family Sharing,Creates an Apple Account for your child inside your family group with age-based protections applied automatically,Everything else on Apple devices hangs off this. Age must be correct because iOS uses it to decide which protections apply,Settings > [Your Name] > Family Sharing > Add Member > Create Child Account,Required under 13; available to 18,true,essential,Child entering a false birthday at setup; check the age on the account,durable,https://support.apple.com/en-us/105121,2026-07-04,on_locked,on_locked,on,on,parent_choice
ios_screentime_passcode,ios,Screen Time passcode,A 4-digit code your child does not know that locks all parental settings in place,Without it every other setting can be switched off in seconds,Settings > Screen Time > Lock Screen Time Settings,Off,false,essential,Children guessing birthdays or watching you type it; choose a code they cannot guess and shield entry,durable,https://support.apple.com/en-us/108806,2026-07-04,on_locked,on_locked,on_locked,on_locked,parent_choice
ios_content_privacy,ios,Content and Privacy Restrictions,The master switch for purchase blocks; app age limits; web filters and privacy locks,Turning this off pauses every restriction underneath it,Settings > Screen Time > Content & Privacy Restrictions > On,On by default for child accounts in some regions,true,essential,None while passcode holds,durable,https://support.apple.com/en-us/105121,2026-07-04,on_locked,on_locked,on_locked,on,parent_choice
ios_web_content,ios,Web content filter and Ask to Browse,Limits adult websites or restricts Safari to approved sites only. Ask to Browse (iOS 27) makes children request each new website,Websites are the classic route around app blocks,Settings > Screen Time > Content & Privacy Restrictions > Content Restrictions > Web Content,Limit Adult Websites on for under 18s,true,essential,Other browsers if installed; pair with app approval,semi_volatile,https://www.apple.com/newsroom/2026/06/apple-previews-new-child-safety-features/,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
ios_communication_safety,ios,Communication Safety,Detects nudity in photos and videos before they are sent or viewed and adds a pause with help resources,First line against sexting pressure and unsolicited images. On automatically for under 18s,Settings > Screen Time > Communication Safety,On for under 18s,false,essential,None significant,durable,https://support.apple.com/en-us/105121,2026-07-04,on_locked,on_locked,on_locked,on_locked,on
ios_communication_limits,ios,Communication Limits and contact approval,Controls who your child can call and message and requires your approval when they add a new contact,Directly limits stranger contact through Phone; FaceTime and Messages,Settings > Screen Time > Communication Limits,Off,true,essential,Third party apps have their own messaging; cover those per platform,semi_volatile,https://support.apple.com/en-us/108806,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
ios_ask_to_buy,ios,Ask to Buy,Every app download and in-app purchase needs your approval; free or paid,Stops surprise spending and blocks unapproved apps in one move,Family Sharing > [Child] > Ask to Buy,On for under 13s,true,essential,Gift cards preloaded to the account,durable,https://support.apple.com/en-us/108806,2026-07-04,on_locked,on_locked,on,on,parent_choice
ios_downtime,ios,Downtime schedule,Blocks apps and notifications during hours you set; only allowed apps and calls work,Protects sleep and homework. Sleep loss is one of the best evidenced screen harms,Settings > Screen Time > Downtime,Off,false,essential,None while passcode holds,durable,https://support.apple.com/en-us/108806,2026-07-04,on,on,on,parent_choice,parent_choice
ios_app_limits,ios,App Limits by category,Daily time caps on app categories such as games and social; with expert-informed defaults by age in iOS 27,Caps the endless scroll without banning the app outright,Settings > Screen Time > App Limits,Off,false,recommended,Time limit nagging; approve extensions deliberately not reflexively,semi_volatile,https://support.apple.com/en-us/108806,2026-07-04,on,on,on,parent_choice,parent_choice
ios_app_store_rating,ios,App Store age rating cap,Hides apps above the age rating you choose; using the expanded 13+ 16+ 18+ bands,Stops age-inappropriate apps at the front door,Settings > Screen Time > Content & Privacy Restrictions > Content Restrictions > Apps,Matches account age,true,essential,Web versions of blocked apps; pair with web filter,semi_volatile,https://support.apple.com/en-us/105121,2026-07-04,on_locked,on_locked,on,on,parent_choice
ios_location_lock,ios,Location sharing and privacy lock,Shares your child's location with the family and prevents them changing privacy settings,Useful for safety and stops apps quietly harvesting location,Settings > Screen Time > Content & Privacy Restrictions > Privacy,Varies,true,recommended,Device off or left behind,durable,https://support.apple.com/en-us/119854,2026-07-04,on,on,parent_choice,parent_choice,parent_choice
android_family_link,android,Family Link supervision,Links your child's Google account to yours for remote control of apps; time; content and location,The foundation for everything on Android. Account level so filters survive switching browsers,Family Link app > Add child > follow prompts on both devices,Not set up,true,essential,At 13 the child can end supervision; you are notified. Have the conversation before the birthday,durable,https://families.google/familylink/,2026-07-04,on_locked,on_locked,on,on,parent_choice
android_play_approval,android,Purchase and download approval,Requires your approval for Google Play downloads and purchases,Blocks unapproved apps and surprise spending together,Family Link > Controls > Content restrictions > Google Play,Approval for paid; check free apps too,true,essential,APK sideloading on some devices; block unknown sources in device settings,durable,https://support.google.com/families/answer/7101025,2026-07-04,on_locked,on_locked,on,on,parent_choice
android_play_ratings,android,Google Play content ratings,Caps apps games films and books by age rating,Front door filter for age-inappropriate content,Family Link > Controls > Content restrictions > Google Play > ratings,Matches account age,true,essential,Web content; pair with Chrome filter,semi_volatile,https://support.google.com/families/answer/7101025,2026-07-04,on_locked,on_locked,on,on,parent_choice
android_safesearch,android,SafeSearch and Chrome website filters,Filters explicit results from Google Search and blocks adult or listed sites in Chrome,Account level so it holds across the device not just one browser,Family Link > Controls > Content restrictions > Google Search / Google Chrome,SafeSearch on for supervised accounts,true,essential,Other search engines inside other apps,semi_volatile,https://support.google.com/families/answer/7101025,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
android_youtube_control,android,YouTube restriction via Family Link,Routes under 13s to YouTube Kids or a supervised experience with a content level you choose,YouTube is where most child screen time actually lives,Family Link > Controls > Content restrictions > YouTube,Supervised experience for child accounts,true,essential,Signed-out browsing on other devices,semi_volatile,https://support.google.com/youtube/answer/13877231,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
android_daily_limit,android,Daily limit; Downtime and School Time,Daily device cap plus scheduled blocks for bedtime and school hours,Structure beats willpower; theirs and yours,Family Link > Screen time > Daily limit / Schedules,Off,true,essential,Limits are per device; set on every device the child uses,durable,https://www.internetmatters.org/parental-controls/smartphones-and-other-devices/google-family-link/,2026-07-04,on,on,on,parent_choice,parent_choice
android_app_blocks,android,App blocks and per-app limits,Block individual apps or cap them while leaving useful apps unlimited,Precision beats blanket bans; keeps homework tools open while capping games,Family Link > Screen time > App limits,None,true,recommended,New lookalike apps; review the app list monthly,durable,https://support.google.com/families/answer/7101025,2026-07-04,on,on,on,parent_choice,parent_choice
android_location,android,Location sharing,See your child's device location on a map with arrival and departure alerts,Independence with a safety net,Family Link > Location,Off,true,recommended,Device off,durable,https://families.google/familylink/,2026-07-04,on,on,parent_choice,parent_choice,parent_choice
win_family_group,windows,Microsoft family group and child account,Adds your child to a Microsoft family group covering Windows and Xbox together,One setup covers PC and console,account.microsoft.com/family > Add a family member,Not set up,true,essential,Local accounts outside the family group; make the child account the only sign-in,durable,https://account.microsoft.com/family,2026-07-04,on_locked,on_locked,on,on,parent_choice
win_web_filter,windows,Web and search filters,Blocks adult sites and forces SafeSearch in Edge; can block other browsers,Windows filtering only holds inside Edge so lock the browser choice too,Family Safety app > [Child] > Content filters > Web and search,Off,true,essential,Other browsers; enable Only use allowed websites or block browser installs,semi_volatile,https://account.microsoft.com/family,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
win_app_limits,windows,App and game age limits,Caps apps and games by age rating; child can request exceptions,PC gaming is the least controlled gaming surface; this is the baseline,Family Safety app > [Child] > Content filters > Apps and games,Matches account age,true,essential,Steam and Epic have separate stores; set their family controls separately,semi_volatile,https://account.microsoft.com/family,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
win_screen_time,windows,Screen time schedules,Daily allowances and permitted hours per device or shared across devices,Same structure principle as phones; sleep and homework protected,Family Safety app > [Child] > Screen time,Off,true,recommended,None significant while account holds,durable,https://account.microsoft.com/family,2026-07-04,on,on,on,parent_choice,parent_choice
fire_kids_profile,fire_tablet,Amazon Kids profile,A walled-garden child profile with only approved apps books and videos,The strongest default environment of any mainstream tablet,Settings > Profiles & Family Library > Add child profile,Kids edition ships with it,true,essential,Exiting to the adult profile; PIN-protect the exit and your profile,durable,https://www.amazon.com/gp/help/customer/display.html,2026-07-04,on_locked,on_locked,parent_choice,na,na
fire_time_limits,fire_tablet,Time limits and educational goals,Daily caps by activity type and a Learn First mode that unlocks entertainment after reading,Rewards structure built in; use it,Parent Dashboard > [Child] > Set daily goals & time limits,Off,true,recommended,None significant,durable,https://www.amazon.com/gp/help/customer/display.html,2026-07-04,on,on,parent_choice,na,na
fire_web_browser,fire_tablet,Web browser off or curated,Disables the browser in the child profile or limits it to curated sites,The browser is the hole in every walled garden,Parent Dashboard > [Child] > Web settings,Curated for Kids+ profiles,true,essential,None significant inside the profile,durable,https://www.amazon.com/gp/help/customer/display.html,2026-07-04,on_locked,on,parent_choice,na,na
fire_purchases,fire_tablet,In-app purchasing off,Blocks purchases inside the child profile entirely,Children cannot consent to spending; remove the surface,Settings > Applications > Amazon Application Settings > Appstore > In-App Purchasing,Off in child profile,true,essential,Adult profile access,durable,https://www.amazon.com/gp/help/customer/display.html,2026-07-04,on_locked,on_locked,parent_choice,na,na
switch_app_link,switch,Link the Parental Controls app and set a PIN,Pairs the console to your phone; a PIN then gates every restriction change,Console-side controls are limited; the app is where the real controls live,Download Nintendo Switch Parental Controls app > link console > set PIN,Not set up,true,essential,PIN observed over your shoulder; change it if guessed,durable,https://www.nintendo.com/us/mobile-apps/parental-controls/,2026-07-04,on_locked,on_locked,on,on,parent_choice
switch_restriction_level,switch,Restriction level by age,Preset Child; Pre-Teen or Teen levels controlling game ratings and features; or custom,One choice sets game age ratings across the console. Set for the youngest player; controls are per console not per child,App > Console Settings > Restriction Level,None,true,essential,Whitelisted games bypass ratings; review the safelist,durable,https://www.nintendo.com/en-gb/Support/Parental-Controls/,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
switch_play_time,switch,Play time limit and bedtime,Daily play cap and a bedtime cut-off with optional automatic game suspension,Gaming session creep is the number one console flashpoint; automate the boundary,App > Play Time Limit / Bedtime,Off,true,essential,Alarm-only mode just notifies; enable Suspend Software to enforce,durable,https://www.nintendo.com/en-gb/Support/Parental-Controls/,2026-07-04,on,on,on,parent_choice,parent_choice
switch_communication,switch,Restrict communication with others,Blocks in-game chat; messaging and sharing of user content; per game or globally,Stranger contact in games is the risk parents most underestimate,App > Console Settings > Communicating with Others,Restricted at Child and Pre-Teen levels,true,essential,Voice chat through phone apps like Discord sits outside the console,durable,https://www.nintendo.com/en-gb/Support/Parental-Controls/,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
switch_eshop,switch,eShop spending restrictions,Blocks or password-gates purchases on Nintendo eShop via your Nintendo Account,Spending controls live in the Nintendo Account not the console app; families miss this,accounts.nintendo.com > Family group > [Child] > restrict spending,Off,true,essential,Gift cards redeem regardless; keep balances low,durable,https://www.esrb.org/tools-for-parents/parental-controls/nintendo-switch/,2026-07-04,on_locked,on_locked,on,on,parent_choice
switch_gamechat,switch,GameChat management (Switch 2),Voice and video chat on Switch 2; under 16s need parent setup and can only chat with friends you approve; chat history reviewable,New surface on Switch 2; approval-based friends list is the control that matters,Parental Controls app > GameChat settings,Requires parent setup under 16,true,essential,None significant; approval model is strong,volatile,https://en-americas-support.nintendo.com/app/answers/detail/a_id/22508/,2026-07-04,na,off,on,parent_choice,parent_choice
ps_child_account,playstation,Child account under Family Manager,Creates a child account in your PlayStation family with age-appropriate presets,Presets apply sensible defaults per age in one tap; customise from there,PlayStation Family app > Add child,Not set up,true,essential,Child using a parent's signed-in profile; passcode-lock your own profile,durable,https://www.playstation.com/en-gb/parental-controls/,2026-07-04,on_locked,on_locked,on,on,parent_choice
ps_age_ratings,playstation,Game age rating limits,Blocks games above the PEGI rating for the child's age; child can request exceptions you approve,Ratings enforcement with a built-in negotiation channel; better than silent blocks,Family app > [Child] > Content restrictions,Preset by age,true,essential,Disc games from friends still boot on adult profiles,durable,https://www.playstation.com/en-gb/parental-controls/,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
ps_playtime,playstation,Playtime limits,Daily playtime per day of week with a 15 minute warning; child can request more from the console,Session structure with flexibility built in,Family app > [Child] > Playtime settings,Off,true,essential,None significant,durable,https://www.playstation.com/en-us/parental-controls/,2026-07-04,on,on,on,parent_choice,parent_choice
ps_spending,playstation,Monthly spending limit,Caps PlayStation Store spending per month; you add funds and see balances,In-game purchase pressure is constant; a hard monthly cap ends the argument,Family app > [Child] > Spending limit,Zero for child accounts,true,essential,Gift cards; keep them occasional,durable,https://www.playstation.com/en-us/parental-controls/,2026-07-04,on_locked,on_locked,on,on,parent_choice
ps_communication,playstation,Communication and user content restrictions,Blocks text; voice and video messages and viewing or sharing user-generated content; per-game exceptions on request,Cuts stranger contact while letting you approve trusted games like Minecraft,Family app > [Child] > Communication and UGC,Restricted for child accounts,true,essential,Party chat via phone apps sits outside the console,durable,https://www.uswitch.com/broadband/guides/playstation-parental-controls/,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
xbox_family_app,xbox,Child account in Xbox Family Settings app,Adds your child to your Microsoft family and manages everything from your phone in real time,The best console management app; also covers Windows PCs,Xbox Family Settings app > Add child,Not set up,true,essential,Child signing in as another user; PIN your own profile,durable,https://www.xbox.com/en-GB/family-hub,2026-07-04,on_locked,on_locked,on,on,parent_choice
xbox_content_age,xbox,Content restrictions by age,Filters games apps and media to the age you confirm; per-title exceptions approvable,One age setting maps to PEGI ratings across everything,Family app > [Child] > Content restrictions > Allow content suitable for age,Matches account age,true,essential,Physical discs on unrestricted profiles,durable,https://www.esrb.org/tools-for-parents/parental-controls/xbox/,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
xbox_ask_to_buy,xbox,Needs adult approval to buy,Every purchase request comes to your phone or email for approval,Kills accidental and pester-power spending,Family app > [Child] > Content restrictions > Needs adult approval to buy,Off,true,essential,Gift card balances spend freely; monitor balance in app,durable,https://www.esrb.org/tools-for-parents/parental-controls/xbox/,2026-07-04,on_locked,on_locked,on,on,parent_choice
xbox_screen_time,xbox,Screen time schedule,Daily allowances and permitted hours; pause play instantly from your phone,The remote pause is the single most useful console feature for dinner time,Family app > [Child] > Screen time,Off,true,essential,None significant,durable,https://www.xbox.com/en-US/apps/family-settings-app,2026-07-04,on,on,on,parent_choice,parent_choice
xbox_communication,xbox,Communication and multiplayer controls,Controls voice and text chat; who can communicate; multiplayer; clubs and cross-network play,Cross-network play connects your child to PC and PlayStation strangers; decide deliberately,Family app > [Child] > Privacy & online safety,Restricted for child accounts,true,essential,Discord on phone bypasses console chat controls,durable,https://www.xbox.com/en-US/apps/family-settings-app,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
quest_supervision,quest,Meta Quest parental supervision,Links the child's account for app approval; time insights and feature control. Auto-enrolled ages 10 to 12,VR is more immersive than any flat screen; supervision is non-negotiable at this age,Meta Horizon app > Family Center > link accounts,Auto for 10 to 12,true,essential,Using a parent or sibling account; keep yours locked,semi_volatile,https://familycenter.meta.com/,2026-07-04,na,on_locked,on,parent_choice,parent_choice
quest_app_ratings,quest,App approval by rating,Approve each app your child downloads and cap by age rating,VR content ratings run ahead of parental awareness; approve per title,Family Center > [Child] > App approvals,Approval on for supervised accounts,true,essential,None significant while supervision holds,semi_volatile,https://familycenter.meta.com/,2026-07-04,na,on_locked,on,parent_choice,parent_choice
quest_casting,quest,Cast the headset to a phone or TV,Mirrors what your child sees in the headset to a screen you can see,The only way to actually see inside VR; make casting the house norm,Quest headset > Camera > Cast,Off,false,recommended,None; it is a norm not a lock,durable,https://familycenter.meta.com/,2026-07-04,na,on,on,parent_choice,parent_choice
tv_app_profiles,smart_tv,Kids profiles in every streaming app,Child profiles with maturity limits in Netflix Disney+ and others on the TV,The living room TV is the most shared and least configured screen in the house,Per app: Profiles > Add kids profile,Varies by app,false,essential,Switching to an adult profile; PIN every adult profile,durable,https://www.internetmatters.org/parental-controls/entertainment-search-engines/,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
tv_store_pin,smart_tv,TV app store and purchase PIN,PIN-gates app installs and purchases on the TV OS itself,Stops new unvetted apps arriving on the family screen,TV Settings > Parental controls / Store settings,Off,false,recommended,None significant,durable,https://www.internetmatters.org/parental-controls/entertainment-search-engines/,2026-07-04,on,on,on,parent_choice,parent_choice
tv_youtube_signin,smart_tv,YouTube on TV signed into the supervised account,Applies your child's YouTube content level and autoplay settings on the big screen,Signed-out TV YouTube has no filters at all; this closes the biggest living room gap,YouTube app on TV > sign in with child's supervised account,Signed out,true,essential,Signing out; check the account chip periodically,semi_volatile,https://support.google.com/youtube/answer/13877231,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
router_isp_filter,router,ISP content filter,Network-level blocking of adult and harmful categories on every device using home wifi,Covers guest devices; old tablets and anything you forgot. BT Sky Virgin and TalkTalk all include it free,ISP account dashboard > Parental controls / Web safe,Off or opt-in at signup,false,essential,Mobile data and VPNs bypass it; treat it as one layer of several,semi_volatile,https://www.internetmatters.org/parental-controls/broadband-mobile/,2026-07-04,on,on,on,parent_choice,parent_choice
router_wifi_schedule,router,Wifi schedule per device,Pauses internet to chosen devices at bedtime or homework hours from the router app,Enforces the household rhythm at the pipe; no per-device negotiation,ISP or router app > Device schedules / Pause,Off,false,recommended,Mobile data on phones,durable,https://www.internetmatters.org/parental-controls/broadband-mobile/,2026-07-04,on,on,on,parent_choice,parent_choice
alexa_kids_mode,alexa,Amazon Kids on Alexa,Kid-safe mode with explicit lyrics filtered; purchasing off and kid skills only,Smart speakers answer any question a child asks; scope what they can reach,Alexa app > Settings > Amazon Kids,Off,true,recommended,Other speakers in the house without kids mode,durable,https://www.amazon.com/gp/help/customer/display.html,2026-07-04,on,on,parent_choice,parent_choice,na
